what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1523332247634
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1523332247635
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1523332247636
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1523332247636
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1523332247637
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1523332247638
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1523332247638
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1523332247639
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1523332247639
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1523332247640
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1523332247640
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1523332247641
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1523332247642
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1523332247642
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1523332247643
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1523332247643
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1523332247644
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1523332247645
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1523332247645
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1523332247645
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1523332247646
os,sysinfo,,,"win32",1523332247649
arch,sysinfo,,,"x86_64",1523332247649
ws,sysinfo,,,"win32",1523332247649
locale,sysinfo,,,"zh_CN",1523332247649
processors,sysinfo,,,"4",1523332247649
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1523332247649
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1523332247649
java.specification.name,sysinfo,,,"Java Platform API Specification",1523332247649
java.specification.vendor,sysinfo,,,"Oracle Corporation",1523332247649
java.specification.version,sysinfo,,,"1.7",1523332247649
java.vendor,sysinfo,,,"Oracle Corporation",1523332247649
java.version,sysinfo,,,"1.7.0_71",1523332247649
java.vm.info,sysinfo,,,"mixed mode",1523332247649
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1523332247649
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1523332247649
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1523332247649
java.vm.specification.version,sysinfo,,,"1.7",1523332247649
java.vm.vendor,sysinfo,,,"Oracle Corporation",1523332247649
java.vm.version,sysinfo,,,"24.71-b01",1523332247649
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1523332252051
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1523332252151
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1523332252169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332252824
started,bundle,org.springsource.ide.eclipse.gradle.core,3.7.0.201506251228-RELEASE,"org.springsource.ide.eclipse.gradle.core",1523332274104
started,bundle,org.springsource.ide.eclipse.gradle.ui,3.7.0.201506251228-RELEASE,"org.springsource.ide.eclipse.gradle.ui",1523332274106
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1523332308427
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1523332308442
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1523332313134
